TIMESTAMP,TARGET,PID,ACTION,STATUS
12:45:25,su,723,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,1557,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,1574,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,2882,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,11006,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,11007,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,25795,SIGKILL (9),⛔ ELIMINATED
12:45:25,su,25796,SIGKILL (9),⛔ ELIMINATED
12:45:26,su,25839,SIGKILL (9),⛔ ELIMINATED
12:45:26,su,25844,SIGKILL (9),⛔ ELIMINATED
12:45:27,su,25849,SIGKILL (9),⛔ ELIMINATED
12:45:27,su,25854,SIGKILL (9),⛔ ELIMINATED
12:45:28,su,25860,SIGKILL (9),⛔ ELIMINATED
12:45:38,su,25863,SIGKILL (9),⛔ ELIMINATED
12:45:38,su,25864,SIGKILL (9),⛔ ELIMINATED
12:45:53,su,25885,SIGKILL (9),⛔ ELIMINATED
12:45:53,su,25886,SIGKILL (9),⛔ ELIMINATED
12:49:48,su,26109,SIGKILL (9),⛔ ELIMINATED
12:49:48,su,26110,SIGKILL (9),⛔ ELIMINATED
12:54:48,su,26200,SIGKILL (9),⛔ ELIMINATED
12:55:01,su,26211,SIGKILL (9),⛔ ELIMINATED
12:55:17,su,26235,SIGKILL (9),⛔ ELIMINATED
12:55:17,su,26237,SIGKILL (9),⛔ ELIMINATED
12:56:46,su,26290,SIGKILL (9),⛔ ELIMINATED
12:56:59,su,26311,SIGKILL (9),⛔ ELIMINATED
12:57:05,su,26320,SIGKILL (9),⛔ ELIMINATED
12:57:05,su,26322,SIGKILL (9),⛔ ELIMINATED
12:57:25,su,26339,SIGKILL (9),⛔ ELIMINATED
12:57:25,su,26340,SIGKILL (9),⛔ ELIMINATED
12:58:48,su,26389,SIGKILL (9),⛔ ELIMINATED
13:01:08,wireshark,26692,SIGKILL,⛔ ELIMINATED
13:01:08,wireshark,26693,SIGKILL,⛔ ELIMINATED
13:01:08,wireshark,26694,SIGKILL,⛔ ELIMINATED
13:02:36,wireshark,26898,SIGKILL,⛔ ELIMINATED
13:02:36,wireshark,26899,SIGKILL,⛔ ELIMINATED
13:02:36,wireshark,26900,SIGKILL,⛔ ELIMINATED
13:02:43,nmap,26910,SIGKILL,⛔ ELIMINATED
13:02:43,nmap,26912,SIGKILL,⛔ ELIMINATED
13:02:43,nmap,26913,SIGKILL,⛔ ELIMINATED
13:02:44,nmap,26934,SIGKILL,⛔ ELIMINATED
